0,10,20,30,40,50,60,70,80,90,100
6.73E-01,5.22E-01,3.62E-01,2.46E-01,1.60E-01,9.56E-02,5.39E-02,3.70E-02,1.09E-02,5.25E-03,4.52E-03
6.27E-01,4.95E-01,3.71E-01,2.59E-01,1.55E-01,9.53E-02,5.69E-02,3.32E-02,9.93E-03,5.19E-03,2.16E-03
6.76E-01,4.65E-01,3.38E-01,2.53E-01,1.49E-01,9.30E-02,5.18E-02,2.96E-02,1.26E-02,3.88E-03,3.25E-03
6.19E-01,4.67E-01,3.28E-01,2.39E-01,1.56E-01,9.29E-02,4.63E-02,2.01E-02,1.32E-02,6.71E-03,4.51E-03
6.43E-01,5.25E-01,3.80E-01,2.49E-01,1.52E-01,1.04E-01,6.46E-02,3.22E-02,1.16E-02,4.42E-03,2.80E-03
6.61E-01,4.70E-01,3.16E-01,2.69E-01,1.83E-01,9.42E-02,4.59E-02,3.19E-02,1.42E-02,4.93E-03,6.48E-03
